h3,Accomodation_access,Primary Schools_access,Public Transports Stops_access,Municipal Sports Centers_access
8a1e80420007fff,401.6666666666667,30.333333333333332,983.3333333333334,7.333333333333333
8a1e80420037fff,443.0,36.5,1088.5,8.5
8a1e80420097fff,158.0,18.666666666666668,632.3333333333334,5.666666666666667
8a1e804200a7fff,283.0,20.0,755.0,5.0
8a1e804200affff,376.0,25.0,914.0,7.0
8a1e804200b7fff,240.5,22.0,746.0,5.5
8a1e804200f7fff,359.0,23.0,869.0,5.0
8a1e80420107fff,457.0,37.0,1119.0,10.0
8a1e8042010ffff,452.0,37.0,1123.0,11.0
8a1e80420117fff,451.5,36.0,1101.5,8.25
8a1e80420137fff,447.0,35.0,1120.0,10.0
8a1e80420167fff,341.0,25.5,879.5,5.5
8a1e80420187fff,434.0,34.0,1066.3333333333333,8.0
8a1e804201affff,422.0,35.0,1063.0,8.0
8a1e804201b7fff,419.6666666666667,34.0,1047.6666666666667,8.0
8a1e8042024ffff,403.0,23.0,859.0,13.0
8a1e8042025ffff,319.0,22.0,692.0,6.0
8a1e80420347fff,433.6666666666667,28.0,1045.5,13.0
8a1e8042039ffff,273.6666666666667,20.0,752.0,5.0
8a1e804203b7fff,297.0,21.0,775.0,5.0
8a1e80420407fff,225.4,25.0,800.8,7.2
8a1e8042040ffff,252.0,26.0,857.0,8.0
8a1e80420417fff,179.0,24.0,705.0,6.0
8a1e8042041ffff,232.5,25.0,819.5,8.0
8a1e80420427fff,245.33333333333334,25.666666666666668,843.0,7.333333333333333
8a1e80420447fff,196.4,24.0,747.0,6.0
8a1e8042044ffff,179.0,24.0,698.0,6.0
8a1e80420457fff,209.5,24.5,767.0,7.0
8a1e80420467fff,203.75,24.0,755.5,6.0
8a1e8042046ffff,157.66666666666666,18.333333333333332,634.0,5.333333333333333
8a1e8042048ffff,190.5,23.0,733.0,7.0
8a1e8042049ffff,190.0,24.0,736.0,8.0
8a1e804204affff,155.0,18.0,627.0,5.0
8a1e804204b7fff,175.66666666666666,23.333333333333332,692.6666666666666,6.0
8a1e804204c7fff,156.5,18.0,634.0,5.0
8a1e804204cffff,160.57142857142858,19.285714285714285,650.1428571428571,5.142857142857143
8a1e804204e7fff,202.0,24.0,751.75,6.0
8a1e804204effff,202.66666666666666,23.666666666666668,752.0,6.0
8a1e804204f7fff,159.0,17.0,642.0,5.0
8a1e80420507fff,293.3333333333333,27.666666666666668,911.0,8.333333333333334
8a1e8042050ffff,287.5,27.5,903.0,8.5
8a1e80420517fff,201.0,24.0,748.5,6.0
8a1e8042051ffff,227.0,25.0,803.0,6.0
8a1e80420527fff,337.0,30.0,975.0,9.0
8a1e8042052ffff,313.6666666666667,29.0,935.6666666666666,9.0
8a1e80420547fff,230.33333333333334,25.166666666666668,815.8333333333334,7.0
8a1e8042054ffff,200.0,24.0,752.5,6.0
8a1e80420557fff,198.5,24.0,749.5,6.0
8a1e8042055ffff,224.75,25.0,801.5,7.0
8a1e80420567fff,212.33333333333334,24.333333333333332,777.6666666666666,6.0
8a1e8042056ffff,188.66666666666666,23.0,723.3333333333334,6.0
8a1e80420577fff,259.0,26.0,868.0,8.0
8a1e80420587fff,236.33333333333334,25.0,822.3333333333334,7.333333333333333
8a1e8042059ffff,194.5,23.25,728.0,6.0
8a1e80420607fff,145.0,14.0,577.0,5.0
8a1e804206affff,38.0,4.0,243.0,2.0
8a1e804206cffff,99.0,10.333333333333334,425.3333333333333,4.666666666666667
8a1e804206dffff,87.0,9.0,378.0,4.0
8a1e804206e7fff,113.0,11.0,498.0,5.0
8a1e80420787fff,184.0,24.0,707.0,6.0
8a1e804207affff,154.0,18.0,617.0,5.0
8a1e804207b7fff,193.5,24.0,729.0,6.0
8a1e804208c7fff,411.0,33.0,1029.5,8.0
8a1e804208e7fff,342.0,26.0,865.0,5.0
8a1e804208effff,400.0,33.0,997.0,8.0
8a1e80420917fff,504.0,39.0,1250.0,16.0
8a1e80420937fff,489.0,39.0,1213.0,15.0
8a1e8042096ffff,494.0,38.0,1217.0,14.0
8a1e80420a07fff,700.0,37.5,1305.5,17.0
8a1e80420a0ffff,690.0,33.0,1259.0,19.0
8a1e80420a27fff,688.0,37.0,1293.0,17.0
8a1e80420a67fff,762.0,37.0,1265.0,22.0
8a1e80420a8ffff,55.0,5.0,258.0,2.0
8a1e80420aa7fff,652.0,37.0,1269.5,16.5
8a1e80420ab7fff,291.0,20.0,778.0,5.0
8a1e80420aeffff,403.0,23.0,859.0,13.0
8a1e80420af7fff,446.0,28.0,1070.0,15.0
8a1e80420b17fff,577.0,37.0,1233.5,16.0
8a1e80420b4ffff,907.0,43.0,1448.0,26.0
8a1e80420b97fff,361.0,29.0,918.0,5.0
8a1e80420b9ffff,314.5,21.5,820.0,5.0
8a1e80420bb7fff,471.0,36.0,1163.0,15.0
8a1e80420c17fff,509.0,40.0,1196.0,9.0
8a1e80420c2ffff,482.0,37.0,1166.0,11.0
8a1e80420c4ffff,412.0,33.0,1034.0,6.0
8a1e80420c67fff,496.0,40.0,1193.0,11.0
8a1e80420c6ffff,491.0,39.0,1177.0,12.0
8a1e80420c87fff,421.3333333333333,36.0,1070.6666666666667,9.0
8a1e80420c97fff,335.0,30.0,969.0,9.0
8a1e80420c9ffff,415.0,35.0,1053.0,9.0
8a1e80420ca7fff,531.2,40.9,1206.2,9.0
8a1e80420cb7fff,466.0,39.0,1129.0,9.0
8a1e80420cc7fff,218.0,24.0,789.0,6.0
8a1e80420cd7fff,235.0,26.0,830.0,8.0
8a1e80420cdffff,259.5,26.0,869.5,8.0
8a1e80420d0ffff,466.0,36.0,1135.0,9.0
8a1e80420d1ffff,231.0,23.0,774.0,8.0
8a1e80420d47fff,496.0,39.0,1238.0,15.0
8a1e80420d57fff,486.0,38.0,1197.0,11.0
8a1e80420d5ffff,465.5,37.0,1149.0,10.5
8a1e80420d77fff,459.0,36.0,1142.0,10.0
8a1e80420d87fff,590.1,38.3,1145.8,10.2
8a1e80420d8ffff,340.0,29.0,923.0,9.0
8a1e80420d97fff,610.5,42.0,1249.0,10.0
8a1e80420d9ffff,510.1666666666667,38.333333333333336,1132.0,9.333333333333334
8a1e80420da7fff,716.0,38.0,1164.0,11.0
8a1e80420daffff,512.0,34.0,1054.0,9.0
8a1e80420db7fff,715.6666666666666,38.333333333333336,1175.3333333333333,10.333333333333334
8a1e80421007fff,622.5,28.5,1012.0,21.0
8a1e8042101ffff,330.0,18.0,587.0,4.0
8a1e8042102ffff,774.0,33.5,1128.5,23.0
8a1e8042104ffff,406.6666666666667,19.666666666666668,729.0,10.333333333333334
8a1e80421077fff,368.0,19.0,690.0,10.0
8a1e80421087fff,109.0,6.0,264.0,1.0
8a1e804210dffff,377.0,19.0,702.0,10.0
8a1e804210e7fff,561.0,25.0,951.0,20.0
8a1e804210effff,457.5,20.0,794.0,11.5
8a1e80421107fff,685.25,29.25,1055.5,21.0
8a1e8042111ffff,713.0,32.0,1077.0,22.0
8a1e80421127fff,790.25,32.5,1128.5,24.125
8a1e8042112ffff,1374.0,52.0,1601.0,37.0
8a1e80421157fff,878.5,40.0,1219.5,25.0
8a1e80421247fff,357.0,19.0,671.0,10.0
8a1e8042124ffff,350.5,19.0,650.0,10.0
8a1e8042126ffff,311.5,17.0,575.0,8.0
8a1e80421297fff,97.5,6.0,184.5,1.0
8a1e80421317fff,396.75,19.0,724.5,10.0
8a1e8042131ffff,348.0,19.0,640.0,9.0
8a1e8042134ffff,392.5,19.0,723.0,10.0
8a1e8042135ffff,398.0,19.0,724.0,10.0
8a1e804213affff,356.0,19.0,669.0,10.0
8a1e8042145ffff,278.0,13.0,518.0,3.0
8a1e80421507fff,407.0,23.0,883.0,13.0
8a1e80421527fff,651.0,31.0,1118.75,17.0
8a1e8042152ffff,589.0,29.0,1036.0,15.0
8a1e80421537fff,609.0,29.0,1050.0,15.0
8a1e8042161ffff,215.0,11.0,415.0,1.0
8a1e80421647fff,288.6666666666667,16.666666666666668,478.0,3.0
8a1e80421667fff,184.25,11.0,329.25,2.0
8a1e80421677fff,285.6666666666667,14.0,530.6666666666666,1.0
8a1e80421687fff,75.0,5.0,217.0,1.0
8a1e804216effff,31.0,2.0,101.0,1.0
8a1e8042170ffff,292.5,14.5,543.25,2.0
8a1e8042171ffff,299.0,15.0,559.0,3.0
8a1e8042172ffff,274.6,14.0,516.2,1.0
8a1e80421737fff,333.0,18.0,687.0,4.0
8a1e80421747fff,250.0,13.0,475.0,1.0
8a1e80421757fff,291.0,14.0,539.0,1.0
8a1e80421767fff,370.5,19.0,695.0,10.0
8a1e8042180ffff,1563.0,53.0,1691.0,40.0
8a1e80421817fff,1688.0,54.5,1781.5,40.5
8a1e8042181ffff,1534.0,52.5,1695.0,39.5
8a1e80421857fff,1833.5,56.0,1798.0,45.0
8a1e8042185ffff,2259.0,62.0,1961.5,50.0
8a1e80421887fff,1956.6666666666667,59.333333333333336,1881.6666666666667,47.333333333333336
8a1e8042188ffff,1743.7058823529412,55.64705882352941,1795.9411764705883,42.0
8a1e8042189ffff,524.0,23.0,877.0,17.0
8a1e804218affff,1814.0,57.0,1828.0,44.0
8a1e804218d7fff,1441.0,52.0,1669.0,38.0
8a1e804218e7fff,1603.0,53.57142857142857,1712.2857142857142,40.285714285714285
8a1e804218f7fff,1736.3,55.3,1774.4,42.3
8a1e80421907fff,2165.4,61.4,1948.0,48.4
8a1e8042190ffff,1572.0,53.0,1706.0,40.0
8a1e80421917fff,2195.875,64.375,1976.25,48.75
8a1e80421937fff,1967.0,58.5,1856.0,45.5
8a1e80421987fff,1024.0,42.0,1383.0,25.0
8a1e8042198ffff,1953.5,59.0,1876.0,46.0
8a1e804219a7fff,1924.0,60.5,1812.5,40.0
8a1e804219b7fff,1331.5,50.5,1555.0,29.75
8a1e80421a0ffff,364.0,21.0,676.0,14.0
8a1e80421a27fff,364.0,21.0,680.0,14.0
8a1e80421a47fff,405.0,25.0,753.5,19.0
8a1e80421a57fff,355.0,20.0,647.0,13.0
8a1e80421a67fff,392.75,22.125,724.125,17.875
8a1e80421a6ffff,390.6,22.0,721.8,17.6
8a1e80421ac7fff,298.0,18.0,508.0,3.0
8a1e80421ae7fff,373.0,21.0,692.0,15.0
8a1e80421aeffff,390.0,22.666666666666668,725.6666666666666,17.5
8a1e80421b27fff,407.0,24.0,766.0,19.0
8a1e80421b4ffff,393.0,23.333333333333332,735.3333333333334,18.0
8a1e80421b5ffff,409.1666666666667,23.333333333333332,758.1666666666666,18.666666666666668
8a1e80421b77fff,439.0,24.0,820.0,21.0
8a1e80421c0ffff,785.0,37.0,1254.0,22.0
8a1e80421c1ffff,637.0,30.0,1068.0,16.0
8a1e80421c27fff,1033.5,45.0,1513.0,27.0
8a1e80421ca7fff,645.0,30.0,1111.0,16.0
8a1e80421ccffff,435.0,23.0,874.0,12.0
8a1e80421d8ffff,683.0,32.0,1158.0,18.0
8a1e80421d97fff,717.5,35.0,1210.0,19.0
8a1e80422807fff,261.6666666666667,28.0,833.6666666666666,9.0
8a1e8042280ffff,244.0,27.0,807.0,9.0
8a1e8042281ffff,230.0,26.0,777.6666666666666,9.0
8a1e80422827fff,296.6666666666667,29.0,867.3333333333334,9.333333333333334
8a1e8042282ffff,207.0,25.0,742.0,9.0
8a1e80422837fff,300.0,29.0,871.0,9.0
8a1e80422847fff,208.0,24.0,758.0,9.0
8a1e80422857fff,220.0,26.0,782.0,9.0
8a1e8042285ffff,152.0,15.5,625.0,6.5
8a1e8042286ffff,140.0,15.0,573.0,5.0
8a1e804228affff,187.0,20.0,708.0,9.0
8a1e804228cffff,136.0,15.0,583.0,5.0
8a1e804228e7fff,182.0,19.0,704.0,8.0
8a1e804228effff,135.0,15.0,579.0,5.0
8a1e804228f7fff,204.5,22.5,745.0,9.0
8a1e8042290ffff,376.0,31.0,940.0,10.0
8a1e80422917fff,389.0,31.0,959.0,10.0
8a1e8042291ffff,363.0,31.0,937.0,10.0
8a1e80422927fff,412.0,32.0,1009.0,10.0
