h3,Accomodation_access,Primary Schools_access,Public Transports Stops_access,Municipal Sports Centers_access
8a1e80420007fff,0.3333333333333333,0.0,17.0,0.0
8a1e80420037fff,2.0,0.0,29.0,0.0
8a1e80420097fff,14.0,0.6666666666666666,70.0,0.0
8a1e804200a7fff,0.0,0.0,5.0,0.0
8a1e804200affff,0.0,0.0,13.0,0.0
8a1e804200b7fff,8.0,0.5,46.0,0.0
8a1e804200f7fff,0.0,0.0,6.0,0.0
8a1e80420107fff,3.0,0.0,34.0,0.0
8a1e8042010ffff,4.0,0.0,41.0,0.0
8a1e80420117fff,3.0,0.0,33.25,0.0
8a1e80420137fff,2.0,0.0,35.0,0.0
8a1e80420167fff,0.0,0.0,12.0,0.0
8a1e80420187fff,2.0,0.0,30.333333333333332,0.0
8a1e804201affff,0.0,0.0,28.0,0.0
8a1e804201b7fff,1.0,0.0,27.333333333333332,0.0
8a1e8042024ffff,12.0,0.0,37.0,0.0
8a1e8042025ffff,0.0,0.0,2.0,0.0
8a1e80420347fff,10.142857142857142,0.0,30.571428571428573,0.0
8a1e8042034ffff,4.0,0.0,23.0,0.0
8a1e8042039ffff,0.0,0.0,5.0,0.0
8a1e804203b7fff,0.0,0.0,5.0,0.0
8a1e80420407fff,17.2,0.6,88.0,0.0
8a1e8042040ffff,19.0,1.0,100.0,0.0
8a1e80420417fff,15.0,0.0,74.0,0.0
8a1e8042041ffff,18.0,1.0,93.5,0.0
8a1e80420427fff,18.0,1.0,94.66666666666667,0.0
8a1e80420447fff,20.0,1.0,96.8,0.0
8a1e8042044ffff,18.0,1.0,92.0,0.0
8a1e80420457fff,19.0,1.0,96.5,0.0
8a1e80420467fff,19.0,1.0,95.0,0.0
8a1e8042046ffff,17.333333333333332,1.0,82.66666666666667,0.0
8a1e8042048ffff,16.0,0.0,72.0,0.0
8a1e8042049ffff,15.0,0.0,74.0,0.0
8a1e804204affff,15.0,0.0,64.0,0.0
8a1e804204b7fff,15.0,0.0,73.33333333333333,0.0
8a1e804204c7fff,14.5,0.0,62.5,0.0
8a1e804204cffff,14.857142857142858,0.0,64.28571428571429,0.0
8a1e804204e7fff,17.75,0.5,86.0,0.0
8a1e804204effff,18.333333333333332,0.6666666666666666,90.0,0.0
8a1e804204f7fff,14.0,0.0,62.0,0.0
8a1e80420507fff,17.333333333333332,0.3333333333333333,96.66666666666667,0.0
8a1e8042050ffff,17.75,0.75,99.5,0.0
8a1e80420517fff,16.5,0.0,77.0,0.0
8a1e8042051ffff,17.0,0.0,82.0,0.0
8a1e80420527fff,17.0,0.0,111.0,0.0
8a1e8042052ffff,18.666666666666668,1.0,112.66666666666667,0.0
8a1e80420547fff,18.333333333333332,1.0,94.66666666666667,0.0
8a1e8042054ffff,18.5,0.8333333333333334,90.5,0.0
8a1e80420557fff,17.0,0.0,80.0,0.0
8a1e8042055ffff,19.25,0.75,94.75,0.0
8a1e80420567fff,17.333333333333332,0.3333333333333333,84.66666666666667,0.0
8a1e8042056ffff,16.333333333333332,0.0,76.33333333333333,0.0
8a1e80420577fff,17.77777777777778,0.7777777777777778,95.0,0.0
8a1e80420587fff,17.0,0.0,82.0,0.0
8a1e8042059ffff,16.25,0.25,79.0,0.0
8a1e80420607fff,18.0,1.0,81.0,0.0
8a1e804206affff,4.0,1.0,20.0,0.0
8a1e804206cffff,7.333333333333333,1.0,40.0,0.0
8a1e804206dffff,4.0,1.0,27.0,0.0
8a1e804206e7fff,9.0,1.0,49.0,0.0
8a1e80420787fff,20.0,1.0,94.0,0.0
8a1e804207affff,18.0,1.0,82.0,0.0
8a1e804207b7fff,19.0,1.0,95.0,0.0
8a1e804208c7fff,1.0,0.0,27.0,0.0
8a1e804208e7fff,0.0,0.0,13.0,0.0
8a1e804208effff,0.0,0.0,24.0,0.0
8a1e80420917fff,17.0,0.0,78.0,0.0
8a1e80420937fff,6.0,0.0,55.0,0.0
8a1e8042096ffff,13.0,0.0,60.0,0.0
8a1e80420a07fff,30.0,1.0,81.0,0.0
