id_int,id,x,y,net_type
1,ROME7711_roma_tpl_281_roma_tpl,12.536631,41.866982,
2,75495_roma_tpl_281_roma_tpl,12.538572,41.868595,
3,75496_roma_tpl_281_roma_tpl,12.541168,41.866853,
4,75497_roma_tpl_281_roma_tpl,12.541812,41.865488,
5,75498_roma_tpl_281_roma_tpl,12.548503,41.863498,
6,ROME4195_roma_tpl_281_roma_tpl,12.551721,41.864178,
7,ROME4371_roma_tpl_281_roma_tpl,12.554355,41.863136,
8,ROME4257_roma_tpl_281_roma_tpl,12.557071,41.861828,
9,75351_roma_tpl_281_roma_tpl,12.559195,41.861162,
10,ROME4439_roma_tpl_281_roma_tpl,12.561771,41.861626,
11,ROME6887_roma_tpl_281_roma_tpl,12.563696,41.862881,
12,ROME6888_roma_tpl_281_roma_tpl,12.566497,41.862492,
13,ROME4440_roma_tpl_281_roma_tpl,12.570671,41.862423,
14,75535_roma_tpl_281_roma_tpl,12.572607,41.861895,
15,75321_roma_tpl_281_roma_tpl,12.573837,41.859678,
16,75322_roma_tpl_281_roma_tpl,12.575102,41.860903,
17,ROME7640_roma_tpl_4357_roma_tpl,12.464141,41.839039,
18,82027_roma_tpl_4357_roma_tpl,12.460748,41.835488,
19,81782_roma_tpl_4357_roma_tpl,12.456185,41.831002,
20,72120_roma_tpl_4357_roma_tpl,12.452815,41.827845,
21,72122_roma_tpl_4357_roma_tpl,12.44938,41.825265,
22,72121_roma_tpl_4357_roma_tpl,12.447642,41.82398,
23,79289_roma_tpl_4357_roma_tpl,12.444905,41.822005,
24,72123_roma_tpl_4357_roma_tpl,12.44311,41.820683,
25,72124_roma_tpl_4357_roma_tpl,12.442077,41.819803,
26,72125_roma_tpl_4357_roma_tpl,12.438678,41.817085,
27,79317_roma_tpl_4357_roma_tpl,12.44057,41.815078,
28,ROME7642_roma_tpl_4357_roma_tpl,12.437273,41.808887,
29,ROME7643_roma_tpl_4357_roma_tpl,12.43599,41.80827,
30,ROME7644_roma_tpl_4357_roma_tpl,12.435165,41.806534,
31,ROME7645_roma_tpl_4357_roma_tpl,12.436572,41.80304,
32,ROME7494_roma_tpl_4357_roma_tpl,12.43377,41.800072,
33,ROME7495_roma_tpl_4357_roma_tpl,12.432847,41.799438,
34,ROME7496_roma_tpl_4357_roma_tpl,12.430827,41.79874,
35,ROME7635_roma_tpl_4357_roma_tpl,12.431546,41.796219,
36,ROME7497_roma_tpl_4357_roma_tpl,12.431092,41.796936,
37,ROME7646_roma_tpl_4357_roma_tpl,12.430274,41.799377,
38,ROME7647_roma_tpl_4357_roma_tpl,12.426004,41.799877,
39,ROME7648_roma_tpl_4357_roma_tpl,12.42245,41.799072,
40,ROME7649_roma_tpl_4357_roma_tpl,12.422965,41.797527,
41,ROME7084_roma_tpl_1916_roma_tpl,12.585729,41.84259,
42,74679_roma_tpl_1916_roma_tpl,12.586018,41.841225,
43,74680_roma_tpl_1916_roma_tpl,12.588442,41.839468,
44,ROME3763_roma_tpl_1916_roma_tpl,12.585892,41.831146,
45,ROME3764_roma_tpl_1916_roma_tpl,12.584581,41.829197,
46,ROME3765_roma_tpl_1916_roma_tpl,12.583104,41.826855,
47,ROME3756_roma_tpl_1916_roma_tpl,12.582028,41.821117,
48,ROME5330_roma_tpl_1916_roma_tpl,12.585751,41.822105,
49,ROME9343_roma_tpl_1916_roma_tpl,12.586667,41.823792,
50,ROME3757_roma_tpl_1916_roma_tpl,12.583833,41.826988,
51,ROME3758_roma_tpl_1916_roma_tpl,12.584781,41.828598,
52,ROME3759_roma_tpl_1916_roma_tpl,12.586315,41.830879,
53,82543_roma_tpl_1916_roma_tpl,12.585542,41.842318,
54,ROME9591_roma_tpl_1916_roma_tpl,12.586134,41.835194,
55,ROME5328_roma_tpl_1916_roma_tpl,12.58672,41.836689,
56,ROME9555_roma_tpl_1916_roma_tpl,12.585139,41.835003,
57,ROME7612_roma_tpl_1916_roma_tpl,12.581579,41.833916,
58,ROME7613_roma_tpl_1916_roma_tpl,12.578919,41.832573,
59,80557_roma_tpl_1916_roma_tpl,12.57693,41.831408,
60,70552_roma_tpl_1916_roma_tpl,12.577527,41.830248,
61,70563_roma_tpl_1916_roma_tpl,12.575878,41.831955,
62,ROME9589_roma_tpl_1916_roma_tpl,12.575437,41.833244,
63,72714_roma_tpl_1916_roma_tpl,12.574983,41.841722,
64,72715_roma_tpl_1916_roma_tpl,12.575058,41.845005,
65,74671_roma_tpl_1916_roma_tpl,12.574757,41.84929,
66,76701_roma_tpl_1916_roma_tpl,12.569193,41.852238,
67,76702_roma_tpl_1916_roma_tpl,12.565897,41.85154,
68,75323_roma_tpl_281_roma_tpl,12.579127,41.859468,
69,ROME4831_roma_tpl_281_roma_tpl,12.580814,41.857777,
70,70694_roma_tpl_629_roma_tpl,12.44117,41.852027,
71,70794_roma_tpl_629_roma_tpl,12.442157,41.848133,
72,75583_roma_tpl_629_roma_tpl,12.44104,41.84939,
73,75589_roma_tpl_629_roma_tpl,12.43818,41.850438,
74,75591_roma_tpl_629_roma_tpl,12.437135,41.852915,
75,74178_roma_tpl_629_roma_tpl,12.43752,41.853393,
76,72966_roma_tpl_629_roma_tpl,12.444795,41.855233,
77,74112_roma_tpl_629_roma_tpl,12.445967,41.85573,
78,77055_roma_tpl_629_roma_tpl,12.44751,41.853882,
79,74673_roma_tpl_629_roma_tpl,12.448297,41.851685,
80,ROME5597_roma_tpl_629_roma_tpl,12.448181,41.849602,
81,ROME6434_roma_tpl_629_roma_tpl,12.446554,41.849064,
82,ROME3738_roma_tpl_629_roma_tpl,12.44702,41.847637,
83,ROME3745_roma_tpl_629_roma_tpl,12.445157,41.846207,
84,77171_roma_tpl_629_roma_tpl,12.444602,41.843737,
85,74641_roma_tpl_629_roma_tpl,12.442172,41.840713,
86,74642_roma_tpl_629_roma_tpl,12.441853,41.842115,
87,82390_roma_tpl_629_roma_tpl,12.442212,41.844138,
88,74645_roma_tpl_629_roma_tpl,12.441435,41.843483,
89,74646_roma_tpl_629_roma_tpl,12.441905,41.841562,
90,77172_roma_tpl_629_roma_tpl,12.44369,41.84273,
91,ROME7187_roma_tpl_629_roma_tpl,12.456548,41.841404,
92,ROME7762_roma_tpl_629_roma_tpl,12.458766,41.843071,
93,ROME7188_roma_tpl_629_roma_tpl,12.459165,41.845501,
94,74689_roma_tpl_629_roma_tpl,12.456768,41.84755,
95,ROME5923_roma_tpl_629_roma_tpl,12.449195,41.842285,
96,ROME4459_roma_tpl_629_roma_tpl,12.450761,41.841187,
97,ROME5924_roma_tpl_629_roma_tpl,12.449355,41.842262,
98,ROME4477_roma_tpl_629_roma_tpl,12.456242,41.847225,
99,20133_roma_tpl_332_roma_tpl,12.577097,41.92944,
100,30649_roma_tpl_332_roma_tpl,12.573367,41.925455,
101,ROME4446_roma_tpl_4193_roma_tpl,12.560359,41.835018,
102,72697_roma_tpl_4193_roma_tpl,12.558118,41.83462,
103,72699_roma_tpl_4193_roma_tpl,12.556072,41.836952,
104,75551_roma_tpl_4193_roma_tpl,12.553963,41.837783,
105,72702_roma_tpl_4193_roma_tpl,12.554305,41.835872,
106,72703_roma_tpl_4193_roma_tpl,12.55332,41.834858,
107,75552_roma_tpl_4193_roma_tpl,12.548255,41.837997,
108,71357_roma_tpl_4193_roma_tpl,12.544747,41.840408,
109,75553_roma_tpl_4193_roma_tpl,12.543145,41.841703,
110,ROME1139_roma_tpl_4193_roma_tpl,12.542012,41.842815,
111,ROME1140_roma_tpl_4193_roma_tpl,12.544552,41.843712,
112,ROME1141_roma_tpl_4193_roma_tpl,12.547075,41.843632,
113,74992_roma_tpl_4193_roma_tpl,12.548955,41.84392,
114,74993_roma_tpl_4193_roma_tpl,12.550053,41.84462,
115,74994_roma_tpl_4193_roma_tpl,12.551703,41.84519,
116,74995_roma_tpl_4193_roma_tpl,12.539983,41.855252,
117,ROME907_roma_tpl_4193_roma_tpl,12.540892,41.856403,
118,ROME915_roma_tpl_4193_roma_tpl,12.538331,41.858044,
119,74996_roma_tpl_4193_roma_tpl,12.536625,41.857715,
120,74997_roma_tpl_4193_roma_tpl,12.533267,41.862163,
121,78875_roma_tpl_4193_roma_tpl,12.534517,41.865252,
122,74935_roma_tpl_4193_roma_tpl,12.535177,41.866707,
123,77862_roma_tpl_4193_roma_tpl,12.532023,41.866893,
124,78617_roma_tpl_28_roma_tpl,12.470763,41.828965,
125,70911_roma_tpl_28_roma_tpl,12.4706,41.830345,
126,74425_roma_tpl_28_roma_tpl,12.472363,41.829858,
127,70727_roma_tpl_28_roma_tpl,12.473812,41.828547,
128,70728_roma_tpl_28_roma_tpl,12.4724,41.825843,
129,74426_roma_tpl_28_roma_tpl,12.472443,41.822478,
130,74504_roma_tpl_28_roma_tpl,12.476142,41.821387,
131,74505_roma_tpl_28_roma_tpl,12.479412,41.82053,
132,82256_roma_tpl_28_roma_tpl,12.481407,41.819755,
133,ROME2323_roma_tpl_28_roma_tpl,12.486185,41.813568,
134,ROME2326_roma_tpl_28_roma_tpl,12.487657,41.812508,
135,ROME2328_roma_tpl_28_roma_tpl,12.498651,41.80484,
136,ROME2329_roma_tpl_28_roma_tpl,12.502088,41.803925,
137,ROME5952_roma_tpl_28_roma_tpl,12.507115,41.803497,
138,ROME5953_roma_tpl_28_roma_tpl,12.51189,41.803436,
139,ROME9467_roma_tpl_28_roma_tpl,12.516505,41.804306,
